predictor,scope,N,pearson,spearman,mae,plateau_pct,fixed05,fixed08,oracle,proposed,prop_minus_08
v3_pseudo_probe,VISA,12,0.26602450830414914,0.16432344593942327,0.26274999999999993,33.33333333333333,0.9171185833333334,0.9340154166666667,0.9385347500000001,0.9217036666666666,-0.012311750000000066
v3_pseudo_probe,BTAD,3,0.9169111684657797,0.8660254037844387,0.41209999999999997,33.33333333333333,0.9515926666666666,0.9582503333333333,0.9654536666666665,0.9500296666666667,-0.008220666666666654
v3_pseudo_probe,MPDD,6,-0.551318538757651,-0.3714285714285715,0.3487166666666666,16.666666666666664,0.9368061666666666,0.9451101666666667,0.9501196666666667,0.9316531666666666,-0.013457000000000052
v3_pseudo_probe_gamma2.0,GLOBAL,36,0.19368248499824023,0.20159548638001482,0.2865416666666667,36.11111111111111,0.9521723333333334,0.961990111111111,0.9652178333333333,0.9513770555555556,-0.010613055555555362
v3_pseudo_probe_gamma2.0,MVTEC,15,0.21490419821551004,0.1969439296160451,0.25860666666666665,46.666666666666664,0.9864777333333336,0.9918698,0.9925564000000001,0.9828988,-0.008971000000000062
v3_pseudo_probe_gamma2.0,VISA,12,0.2797860556924326,0.16432344593942327,0.25962500000000005,33.33333333333333,0.9171185833333334,0.9340154166666667,0.9385347500000001,0.9219095833333334,-0.01210583333333326
v3_pseudo_probe_gamma2.0,BTAD,3,0.9129099544732143,0.8660254037844387,0.41009999999999996,33.33333333333333,0.9515926666666666,0.9582503333333333,0.9654536666666665,0.950117,-0.008133333333333326
v3_pseudo_probe_gamma2.0,MPDD,6,-0.5927353137129876,-0.3714285714285715,0.3484333333333333,16.666666666666664,0.9368061666666666,0.9451101666666667,0.9501196666666667,0.9321376666666668,-0.012972499999999942
v3_pseudo_probe_gamma4.0,GLOBAL,36,0.16910395773217368,0.17495004814152157,0.288175,36.11111111111111,0.9521723333333334,0.961990111111111,0.9652178333333333,0.9512848333333334,-0.010705277777777633
v3_pseudo_probe_gamma4.0,MVTEC,15,0.1841480085390286,0.2170030335584201,0.2595266666666667,46.666666666666664,0.9864777333333336,0.9918698,0.9925564000000001,0.9830521333333333,-0.008817666666666724
v3_pseudo_probe_gamma4.0,VISA,12,0.2659617302203564,0.16432344593942327,0.26275,33.33333333333333,0.9171185833333334,0.9340154166666667,0.9385347500000001,0.9217035833333331,-0.012311833333333522
v3_pseudo_probe_gamma4.0,BTAD,3,0.916723315683599,0.8660254037844387,0.41209999999999997,33.33333333333333,0.9515926666666666,0.9582503333333333,0.9654536666666665,0.9500296666666667,-0.008220666666666654
v3_pseudo_probe_gamma4.0,MPDD,6,-0.5515703219924938,-0.3714285714285715,0.3486833333333333,16.666666666666664,0.9368061666666666,0.9451101666666667,0.9501196666666667,0.9316566666666667,-0.013453500000000007
v3_pseudo_probe_gamma8.0,GLOBAL,36,0.16908094960631478,0.17495004814152157,0.288175,36.11111111111111,0.9521723333333334,0.961990111111111,0.9652178333333333,0.9512857222222224,-0.010704388888888583
v3_pseudo_probe_gamma8.0,MVTEC,15,0.18422537010150294,0.2170030335584201,0.2595066666666667,46.666666666666664,0.9864777333333336,0.9918698,0.9925564000000001,0.9830548666666666,-0.008814933333333386
v3_pseudo_probe_gamma8.0,VISA,12,0.26584577949980653,0.16432344593942327,0.26275833333333337,33.33333333333333,0.9171185833333334,0.9340154166666667,0.9385347500000001,0.9217031666666666,-0.012312250000000025
v3_pseudo_probe_gamma8.0,BTAD,3,0.916723315683599,0.8660254037844387,0.41209999999999997,33.33333333333333,0.9515926666666666,0.9582503333333333,0.9654536666666665,0.9500303333333333,-0.008220000000000005
v3_pseudo_probe_gamma8.0,MPDD,6,-0.5515537283686864,-0.3714285714285715,0.3487166666666666,16.666666666666664,0.9368061666666666,0.9451101666666667,0.9501196666666667,0.9316556666666668,-0.013454499999999925
